temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,generated_power_kw
-5.35,82,1028.9,0,0,0,0,15.94,276.48,553.33489
-5.05,86,1029.5,0,0,0,0,0.8,206.57,132.23905
-4.92,84,1028.8,0,0,0,3.56,14.83,275.57,1457.4705
-4.84,87,1029,0,0,0,0,7.92,360,373.094
-4.58,95,1024.9,0,0,2,0,4.9,233.97,4.1297112
-4.53,93,1021,0.4,0.21,100,0,28.45,1.45,0.22459016
-4.38,71,1029.7,0,0,0,0,21.79,157.67,760.53663
-4.36,96,1017.1,0,0,19,0,19.96,309.14,176.33224
-4.35,94,1024.9,0,0,100,0,4.39,214.99,359.65066
-4.33,92,1010.1,0,0,70,167.32,54.4,346.61,61.186944
-4.29,83,1030,0,0,0,24.03,2.41,243.43,205.54818
-4.23,94,1040.7,0,0,100,0.89,11.59,53.84,206.17519
-4.02,92,1017.4,0.1,0.28,100,0,38.98,338.89,60.412381
-3.96,88,1028.5,0,0,0,10.68,6.15,339.44,1187.4758
-3.9,100,1036.9,0,0,49,8.01,4.74,8.75,457.51195
-3.9,94,1040.4,0,0,100,0,13.39,53.75,12.902924
-3.85,91,1016.6,0,0,13,5.34,23.4,300.51,555.61982
-3.84,92,1021.3,0.3,0.28,100,18.69,32.56,5.71,65.507917
-3.82,92,1018.1,0.1,0.21,100,13.35,34.86,343.81,213.16447
-3.59,94,1015.8,0,0,94,4.45,45.67,20.29,0.060569106
-3.58,93,1016.7,0,0,100,0,40.78,312.14,612.4965
-3.49,92,1013.1,0,0,100,0,30.06,353.81,368.43005
-3.47,87,1021.4,0.2,0.14,100,149.52,32.36,25.71,69.335871
-3.44,92,1016.8,0,0,100,13.35,41.86,310.82,1516.1773
-3.41,97,1016.9,0,0,3,3.56,23.34,296.57,1416.8051
-3.39,93,1020.5,0,0.21,100,140.62,45.32,353.16,0.009444444
-3.32,92,1013.4,0,0,100,0,29.38,352.96,6.3583333
-3.27,96,1028.5,0,0,100,4.45,14.76,360,193.89462
-3.09,91,1018.8,0.1,0.21,100,105.02,32.14,4.5,411.75982
-3.08,94,1017.7,0,0.07,100,121.04,42.18,15.34,19.060523
-3.08,96,1035.7,0,0,100,0,5.4,360,451.43028
-2.99,94,1027.7,0,0.07,100,0,15.58,353.37,39.840833
-2.93,80,1029,0,0,1,25.81,28.41,157.66,1800.9321
-2.92,95,1036.6,0,0,100,0,11.54,3.58,81.04899
-2.87,87,1009.8,0,0,100,239.41,61.18,353.92,37.113781
-2.86,68,1032.4,0,0,9,0,5.4,360,480.965
-2.85,92,1018.9,0,0,3,0,34.17,343.47,806.81349
-2.84,87,1019.4,0,0,0,0,9.37,182.2,341.86061
-2.81,82,1025,0,0,100,9.79,1.94,201.8,928.4873
-2.79,70,1032.2,0,0,70,8.01,5.86,349.38,1610.4259
-2.79,94,1037.3,0,0,100,32.04,7.99,352.23,214.27725
-2.78,92,1026.8,0.2,0,100,0,39.96,161.08,37.861475
-2.7,87,1020.3,0,0,0,0,9.03,184.57,2.1010436
-2.66,77,1018.7,0,0.07,84,187.79,27.61,12.04,946.81661
-2.62,90,1029.9,0,0,100,103.24,14.41,12.99,674.70417
-2.61,75,1021.7,0.1,0,100,283.02,29.52,30,179.29113
-2.53,78,1039.2,0,0,3.9,122.82,12.6,53.13,798.55111
-2.5,91,1013,0,0,100,30.26,34.59,357.61,1005.7376
-2.31,92,1036.4,0,0,100,22.25,11.59,216.16,1697.3158
-2.28,83,1009.6,0.1,0,88,217.16,59.89,356.21,44.916886
-2.19,86,1013.8,0,0.07,100,48.06,14.69,281.31,639.75016
-2.18,92,1017,0,0.07,88,225.17,46.33,18.58,155.21215
-2.17,88,1027.2,0.1,0,100,28.48,40.64,161.4,119.46945
-2.17,83,1020.5,0,0,0,14.24,10.14,186.12,1201.3055
-2.16,94,1016.2,0,0,56,0,31.26,302.77,162.85673
-2.11,97,1031,0,0,12,0,4.68,247.38,600.64111
-2.07,96,1035.7,0,0,100,0,11.09,215.75,557.36306
-2.04,89,1017.6,0,0,100,155.75,45.36,312.43,2128.6253
-2,99,1036.6,0,0,0,0,7.65,221.19,455.91293
-2,83,1020,0,0,100,257.21,48.97,0.84,199.56072
-1.95,91,1013.5,0,0,100,0,8.59,236.98,480.20512
-1.93,92,1017.1,0.4,0,100,5.34,41.75,315.7,0.88722222
-1.93,90,1030.6,0,0,31,0,12.76,343.61,27.139583
-1.85,86,1013.6,0.1,0.28,100,105.02,13.83,308.66,705.53718
-1.8,85,1019.5,0,0,2,61.41,32.91,340.18,1810.5113
-1.77,92,1037,0,0,0,1.78,9.18,228.18,1417.3211
-1.77,70,1022,0,0,75,362.23,28.26,34.09,509.22694
-1.73,91,1030.6,0,0,3,9.79,4.21,289.98,1563.6986
-1.68,75,1028.2,0,0,0,119.26,14,287.97,2219.2605
-1.64,62,1018.1,0,0,10,351.55,29.66,10.49,770.66778
-1.63,89,1020.2,0,0,100,0,25.03,310.33,614.21553
-1.56,95,1034.9,0,0,0,0,16.62,175.03,729.90932
