date,time,P_test,packid,packids,P_predicted,ratio,severe
2024/6/6,10.0137,13,PACK-1005,"[PACK-1005, PACK-2005]",80.01762390136719,0.1624642093349873,26.332251034344488
2024/6/3,10.0055,42,PACK-1002,"[PACK-1002, PACK-2002]",80.01762390136719,0.5248843686207281,2.8860458179078616
2024/6/9,10.0219,72,PACK-1008,"[PACK-1008, PACK-2008]",80.01762390136719,0.8998017747783911,-7.910284196745881
2024/6/5,10.011,74,PACK-1004,"[PACK-1004, PACK-2004]",80.01762390136719,0.9247962685222353,-8.447363680508168
2024/6/2,10.0027,130,PACK-1001,"[PACK-1001, PACK-2001]",80.01762390136719,1.6246420933498729,-19.708450825536424
2024/6/10,10.0247,321,PACK-1009,"[PACK-1009, PACK-2009]",80.01762390136719,4.0116162458869935,-37.808584279025084
2024/6/8,10.0192,324,PACK-1007,"[PACK-1007, PACK-2007]",80.01762390136719,4.04910798650276,-37.98913213227136
2024/6/1,10,370,PACK-1000,"[PACK-1000, PACK-2000]",80.01762390136719,4.623981342611176,-40.62512192919017
2024/6/4,10.0082,483,PACK-1003,"[PACK-1003, PACK-2003]",80.01762390136719,6.036170239138373,-45.96359488947623
2024/6/7,10.0164,524,PACK-1006,"[PACK-1006, PACK-2006]",80.01762390136719,6.548557360887179,-47.601295502845616
