temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,generated_power_kw
4.23,45,1026,0,0,0,652.37,18.17,33.69,3056.7941
6.1,38,1033.8,0,0,0.3,619.44,14.06,50.19,3049.4668
2.27,68,1026.9,0,0,2,482.38,34.65,156.1,3042.2762
7.57,64,1032.4,0,0,26,601.64,21.92,29.51,3036.9697
7.37,35,1035.5,0,0,0,692.42,22.42,60.14,3000.4989
9.1,56,1031.8,0,0,0,680.85,25.32,29.85,2999.3172
6.04,40,1024.6,0,0,0,736.03,22.22,40.4,2997.9068
3.99,66,1013.5,0,0,100,411.18,32.2,349.7,2977.094
4.24,55,1024.3,0,0,0,567.82,37.87,155.87,2976.7425
12.97,44,1029.7,0,0,0,728.91,18.58,35.54,2964.7868
11.19,41,1022.8,0,0,4.5,756.5,28.66,154.72,2962.5103
6.5,58,1030.7,0,0,0,524.21,16.42,154,2961.926
6.8,61,1011.7,0,0,10,462.8,34.88,348.69,2955.7583
13.28,57,1015.2,0,0,92,699.54,27.32,161.57,2954.9119
8.16,39,1016.7,0,0,0,663.94,14.24,163.86,2952.9333
16.63,28,1030,0,0,0,737.81,19.65,8.43,2951.6153
3.99,50,1019.3,0,0,5,473.48,28.59,343.16,2949.8806
13.9,35,1021.6,0,0,0,827.7,28.16,147.53,2949.8447
10.26,39,1014.8,0,0,0,754.72,17.67,33.37,2940.5742
16.77,34,1009.8,0,0,0,752.94,12.4,25.82,2927.9754
15.41,33,1025.4,0,0,2.4,621.22,16.45,10.08,2923.0258
12.72,17,1029.8,0,0,0,618.55,14.12,160.64,2922.9944
12.49,49,1015.1,0,0,100,827.7,10.44,360,2921.894
9.67,59,1016.3,0,0,2,788.54,13.08,352.09,2920.693
8.53,33,1016.6,0,0,0,746.71,7.42,157.17,2915.0436
16.39,21,1024.2,0,0,28.8,627.45,4.1,15.26,2909.6684
7.25,56,1021.1,0,0,10,488.61,15.55,275.31,2909.5366
2.62,45,1031.7,0,0,0,412.07,18.67,19.13,2899.872
2.45,44,1034.6,0,0,0,423.64,15.46,24.78,2898.309
2.32,52,1026.2,0,0,0,524.21,19.97,27.95,2894.8564
